[2025-06-19 08:15:46] [class-ss-archive-creation-job.php:119] Starting a job; no job is presently running
[2025-06-19 08:15:46] [class-ss-archive-creation-job.php:120] Here's our task list: setup, fetch_urls, transfer_files_locally, wrapup
[2025-06-19 08:15:46] [class-ss-archive-creation-job.php:138] Pushing first task to queue: setup
[2025-06-19 08:15:46] [class-ss-archive-creation-job.php:194] Current task: setup
[2025-06-19 08:15:46] [class-ss-archive-creation-job.php:208] Performing task: setup
[2025-06-19 08:15:46] [class-ss-task.php:44] Status message: [setup] Setting up
[2025-06-19 08:15:46] [class-ss-setup-task.php:33] Creating archive directory: /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/simply-static/temp-files/simply-static-1-1750320946/
[2025-06-19 08:15:47] [class-ss-setup-task.php:72] Adding origin URL to queue: https://czirokakuriavendeghaz.local/hu/
[2025-06-19 08:15:47] [class-ss-setup-task.php:155] Adding files from directory: /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_4804-1024x768.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_4804-1024x768.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_3061-1024x768.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_3061-1024x768.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-IMG_4804-2-150x150.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-IMG_4804-2-150x150.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_6277.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_6277.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_4803-768x576.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_4803-768x576.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_3194-300x225.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_3194-300x225.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-cropped-IMG_3194-768x768.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-cropped-IMG_3194-768x768.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_3061-768x576.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_3061-768x576.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_4804-768x576.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_4804-768x576.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-IMG_4804-1-1024x547.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-IMG_4804-1-1024x547.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-cropped-IMG_4804-1-1536x829.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-cropped-IMG_4804-1-1536x829.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-cropped-IMG_3061.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-cropped-IMG_3061.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_3194-1536x1151.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_3194-1536x1151.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-cropped-IMG_0264.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-cropped-IMG_0264.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-IMG_4803-300x300.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-IMG_4803-300x300.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-cropped-IMG_4804-2.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-cropped-IMG_4804-2.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_6239-768x1152.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_6239-768x1152.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-IMG_4804-1-1536x820.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-IMG_4804-1-1536x820.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-cropped-cropped-IMG_4804-1-300x300.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-cropped-cropped-IMG_4804-1-300x300.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-IMG_0269-150x150.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-IMG_0269-150x150.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-IMG_4804.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-IMG_4804.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-IMG_4804-1536x1152.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-IMG_4804-1536x1152.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-IMG_0264-1-1024x1024.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-IMG_0264-1-1024x1024.jpg
